ITEM,PARAMETER,TANGGAL,NILAI
STORAGE 01,FFA,11,0.0424
STORAGE 01,MOIST ,11,0.0023
STORAGE 01,DIRTY,11,0.00035
STORAGE 01,LEVEL ,11,
STORAGE 01,SUHU,11,
STORAGE 01,STOCK (KG),11,105317.0
STORAGE 02,FFA,11,0.1545
STORAGE 02,MOIST ,11,0.1976
STORAGE 02,DIRTY,11,0.127
STORAGE 02,LEVEL ,11,
STORAGE 02,SUHU,11,
STORAGE 02,STOCK,11,53368.0
STORAGE 03,FFA,11,0.0402
STORAGE 03,MOIST ,11,0.0055
STORAGE 03,DIRTY,11,0.0011
STORAGE 03,LEVEL ,11,
STORAGE 03,SUHU,11,
STORAGE 03,STOCK,11,159796.0
BUNKER NO.1,MOIST ,11,0.07604
BUNKER NO.1,DIRTY,11,0.055810000000000005
BUNKER NO.1,STOCK (KG),11,8821.0
BUNKER NO.2,MOIST ,11,0.0568
BUNKER NO.2,DIRTY,11,0.0542
BUNKER NO.2,STOCK (KG),11,32756.0
CANGKANG,PRODUKSI (KG),11,37340.0
CANGKANG,PEMAKAIAN (KG),11,35473.0
CANGKANG,STOCK (KG),11,171049.45771001268
JANGKOS,PRODUKSI ,11,84638.0
JANGKOS,STOCK (KG),11,182517.0
JANGKOS,,11,
STORAGE 01,FFA,12,0.0424
STORAGE 01,MOIST ,12,0.0023
STORAGE 01,DIRTY,12,0.00035
STORAGE 01,LEVEL ,12,
STORAGE 01,SUHU,12,
STORAGE 01,STOCK (KG),12,105317.0
STORAGE 02,FFA,12,0.1545
STORAGE 02,MOIST ,12,0.1976
STORAGE 02,DIRTY,12,0.127
STORAGE 02,LEVEL ,12,
STORAGE 02,SUHU,12,
STORAGE 02,STOCK,12,53368.0
STORAGE 03,FFA,12,0.0433
STORAGE 03,MOIST ,12,0.0043
STORAGE 03,DIRTY,12,0.001
STORAGE 03,LEVEL ,12,
STORAGE 03,SUHU,12,
STORAGE 03,STOCK,12,328596.0
BUNKER NO.1,MOIST ,12,0.07604
BUNKER NO.1,DIRTY,12,0.055810000000000005
BUNKER NO.1,STOCK (KG),12,3862.0
BUNKER NO.2,MOIST ,12,0.0616
BUNKER NO.2,DIRTY,12,0.0675
BUNKER NO.2,STOCK (KG),12,48265.0
CANGKANG,PRODUKSI (KG),12,45442.0
CANGKANG,PEMAKAIAN (KG),12,43170.0
CANGKANG,STOCK (KG),12,173321.45771001268
JANGKOS,PRODUKSI ,12,103003.0
JANGKOS,STOCK (KG),12,124320.0
JANGKOS,,12,
STORAGE 01,FFA,13,0.042
STORAGE 01,MOIST ,13,0.0087
STORAGE 01,DIRTY,13,0.00254
STORAGE 01,LEVEL ,13,
STORAGE 01,SUHU,13,
STORAGE 01,STOCK (KG),13,248617.0
STORAGE 02,FFA,13,0.1545
STORAGE 02,MOIST ,13,0.1976
STORAGE 02,DIRTY,13,0.127
STORAGE 02,LEVEL ,13,
STORAGE 02,SUHU,13,
STORAGE 02,STOCK,13,50368.0
STORAGE 03,FFA,13,0.044
STORAGE 03,MOIST ,13,0.003
STORAGE 03,DIRTY,13,0.0007
STORAGE 03,LEVEL ,13,
STORAGE 03,SUHU,13,
STORAGE 03,STOCK,13,305077.0
BUNKER NO.1,MOIST ,13,0.07604
BUNKER NO.1,DIRTY,13,0.055810000000000005
BUNKER NO.1,STOCK (KG),13,3862.0
BUNKER NO.2,MOIST ,13,0.0512
BUNKER NO.2,DIRTY,13,0.0526
BUNKER NO.2,STOCK (KG),13,34203.0
CANGKANG,PRODUKSI (KG),13,31561.0
CANGKANG,PEMAKAIAN (KG),13,29983.0
CANGKANG,STOCK (KG),13,174899.45771001268
JANGKOS,PRODUKSI ,13,58125.0
JANGKOS,STOCK (KG),13,96815.0
JANGKOS,,13,
STORAGE 01,FFA,14,0.0404
STORAGE 01,MOIST ,14,0.0029
STORAGE 01,DIRTY,14,0.0006
STORAGE 01,LEVEL ,14,
STORAGE 01,SUHU,14,
STORAGE 01,STOCK (KG),14,439416.0
STORAGE 02,FFA,14,0.1545
STORAGE 02,MOIST ,14,0.1976
STORAGE 02,DIRTY,14,0.127
STORAGE 02,LEVEL ,14,
STORAGE 02,SUHU,14,
STORAGE 02,STOCK,14,39368.0
STORAGE 03,FFA,14,0.0433
STORAGE 03,MOIST ,14,0.0029
STORAGE 03,DIRTY,14,0.0006
STORAGE 03,LEVEL ,14,
STORAGE 03,SUHU,14,
STORAGE 03,STOCK,14,140547.0
BUNKER NO.1,MOIST ,14,0.07604
BUNKER NO.1,DIRTY,14,0.055810000000000005
BUNKER NO.1,STOCK (KG),14,1862.0
BUNKER NO.2,MOIST ,14,0.0512
BUNKER NO.2,DIRTY,14,0.0526
BUNKER NO.2,STOCK (KG),14,44793.0
CANGKANG,PRODUKSI (KG),14,46539.0
CANGKANG,PEMAKAIAN (KG),14,44212.0
CANGKANG,STOCK (KG),14,177226.45771001268
JANGKOS,PRODUKSI ,14,105489.0
JANGKOS,STOCK (KG),14,202304.0
JANGKOS,,14,
STORAGE 01,FFA,15,
STORAGE 01,MOIST ,15,
STORAGE 01,DIRTY,15,
STORAGE 01,LEVEL ,15,
STORAGE 01,SUHU,15,
STORAGE 01,STOCK (KG),15,439267.0
STORAGE 02,FFA,15,0.1545
STORAGE 02,MOIST ,15,0.1976
STORAGE 02,DIRTY,15,0.127
STORAGE 02,LEVEL ,15,
STORAGE 02,SUHU,15,
STORAGE 02,STOCK,15,39518.0
STORAGE 03,FFA,15,
STORAGE 03,MOIST ,15,
STORAGE 03,DIRTY,15,
STORAGE 03,LEVEL ,15,
STORAGE 03,SUHU,15,
STORAGE 03,STOCK,15,140547.0
BUNKER NO.1,MOIST ,15,
BUNKER NO.1,DIRTY,15,
BUNKER NO.1,STOCK (KG),15,3862.0
BUNKER NO.2,MOIST ,15,
BUNKER NO.2,DIRTY,15,
BUNKER NO.2,STOCK (KG),15,42931.0
CANGKANG,PRODUKSI (KG),15,0.0
CANGKANG,PEMAKAIAN (KG),15,0.0
CANGKANG,STOCK (KG),15,177226.45771001268
JANGKOS,PRODUKSI ,15,0.0
JANGKOS,STOCK (KG),15,111294.0
JANGKOS,,15,
STORAGE 01,FFA,16,0.0425
STORAGE 01,MOIST ,16,0.0036
STORAGE 01,DIRTY,16,0.00042
STORAGE 01,LEVEL ,16,
STORAGE 01,SUHU,16,
STORAGE 01,STOCK (KG),16,525319.0
STORAGE 02,FFA,16,0.1545
STORAGE 02,MOIST ,16,0.1976
STORAGE 02,DIRTY,16,0.127
STORAGE 02,LEVEL ,16,
STORAGE 02,SUHU,16,
STORAGE 02,STOCK,16,39518.0
STORAGE 03,FFA,16,0.0438
STORAGE 03,MOIST ,16,0.0021
STORAGE 03,DIRTY,16,0.00042
STORAGE 03,LEVEL ,16,
STORAGE 03,SUHU,16,
STORAGE 03,STOCK,16,140547.0
BUNKER NO.1,MOIST ,16,0.07604
BUNKER NO.1,DIRTY,16,0.055810000000000005
BUNKER NO.1,STOCK (KG),16,3862.0
BUNKER NO.2,MOIST ,16,0.058
BUNKER NO.2,DIRTY,16,0.0644
BUNKER NO.2,STOCK (KG),16,40009.0
CANGKANG,PRODUKSI (KG),16,56918.0
CANGKANG,PEMAKAIAN (KG),16,54072.0
CANGKANG,STOCK (KG),16,180072.45771001268
JANGKOS,PRODUKSI ,16,104824.0
JANGKOS,STOCK (KG),16,134698.0
JANGKOS,,16,
STORAGE 01,FFA,17,0.044
STORAGE 01,MOIST ,17,0.0039
STORAGE 01,DIRTY,17,0.00048
STORAGE 01,LEVEL ,17,
STORAGE 01,SUHU,17,
STORAGE 01,STOCK (KG),17,760561.0
STORAGE 02,FFA,17,0.1545
STORAGE 02,MOIST ,17,0.1976
STORAGE 02,DIRTY,17,0.127
STORAGE 02,LEVEL ,17,
STORAGE 02,SUHU,17,
STORAGE 02,STOCK,17,38518.0
STORAGE 03,FFA,17,0.0437
